comparison	relatedness	1:max_ibd	2:max_ibd	3:max_ibd	4:max_ibd	5:max_ibd	6:max_ibd	7:max_ibd	8:max_ibd	9:max_ibd	10:max_ibd	11:max_ibd	12:max_ibd	13:max_ibd	14:max_ibd	1:n_ibd	2:n_ibd	3:n_ibd	4:n_ibd	5:n_ibd	6:n_ibd	7:n_ibd	8:n_ibd	9:n_ibd	10:n_ibd	11:n_ibd	12:n_ibd	13:n_ibd	14:n_ibd
DE001N0:DE009N0	0.471	1	1	1	1	1	2	3	1	2	2	1	3	3	3	0.344	0.328	0.259	0.657	1.0	0.666	0.122	0.371	0.19	0.293	0.234	0.13	0.554	0.241
DE001N0:DE010N0	0.498	1	1	1	1	2	2	3	1	2	1	1	2	2	2	0.669	0.459	0.439	0.657	0.118	0.36	0.182	0.629	0.335	0.574	0.757	0.45	0.232	0.13
DE001N0:DE018N0	0.582	1	1	1	2	2	2	2	2	3	1	2	3	2	1	0.126	0.251	0.735	0.273	0.439	0.33	0.569	0.518	0.407	0.765	0.604	0.504	0.284	0.381
DE001N0:DE027N0	0.587	1	2	1	2	1	2	2	1	1	1	2	2	1	2	1.0	0.277	0.397	0.6	0.637	0.494	0.189	0.111	0.327	0.786	0.441	0.535	0.554	0.454
DE001N0:DE032N0	0.564	2	1	0	2	2	2	1	1	2	1	1	1	1	3	0.656	1.0	0.0	0.166	0.574	0.494	0.916	0.111	0.103	1.0	0.832	0.761	0.258	0.319
DE001N0:DE034N0	0.512	1	0	1	1	1	2	2	2	3	0	2	3	3	2	0.344	0.0	0.148	0.657	0.368	0.494	0.494	0.239	0.327	0.0	0.441	0.401	0.454	0.448
DE001N0:DE039N0	0.438	1	0	1	2	1	2	1	1	2	2	2	2	2	3	0.344	0.0	0.357	0.6	0.637	0.494	0.162	0.111	0.087	0.379	0.168	0.501	0.39	0.371
DE001N0:DE041N0	0.537	1	0	1	2	1	1	1	2	2	1	2	1	2	3	0.656	0.0	0.268	0.28	0.91	0.251	0.084	0.518	0.225	0.24	0.216	1.0	0.562	0.328
DE001N0:DE043N0	0.496	0	1	2	2	1	2	1	2	2	0	2	2	2	1	0.0	0.235	0.741	0.102	0.637	0.255	0.916	0.371	0.327	0.0	0.305	0.388	0.554	0.448
DE001N0:DE044N0	0.558	1	3	1	2	1	1	2	2	3	1	2	3	1	3	0.656	0.189	0.338	0.091	1.0	0.251	0.517	0.409	0.327	0.264	0.473	0.385	0.554	0.231
DE001N0:DE048N0	0.43	1	1	1	2	1	2	1	2	1	1	1	1	3	2	0.656	1.0	1.0	0.453	0.211	0.494	0.084	0.371	0.087	0.136	0.245	0.282	0.284	0.334
DE001N0:DE064N0	0.475	1	0	1	2	1	3	1	3	3	1	2	1	1	2	0.076	0.0	0.653	0.6	0.91	0.494	0.246	0.518	0.327	0.189	0.13	0.08	0.471	0.448
DE001N0:DE065N0	0.523	1	1	1	2	1	2	2	2	3	1	2	2	3	1	0.656	1.0	1.0	0.115	0.09	0.494	0.45	0.518	0.483	0.872	0.215	0.614	0.105	0.391
DE001N0:DE066N0	0.416	1	0	1	1	1	1	2	2	3	2	0	2	3	3	0.344	0.0	1.0	0.058	0.09	0.251	0.373	0.149	0.243	0.452	0.0	0.443	0.267	0.387
DE001N0:DE068N0	0.556	1	2	1	1	2	2	2	2	3	1	1	2	3	2	0.158	0.585	0.523	0.39	0.492	0.495	0.395	0.629	0.327	0.455	0.679	0.347	0.271	0.287
DE001N0:DE077N0	0.531	1	1	0	2	2	1	2	2	2	1	3	3	2	1	0.656	0.269	0.0	0.286	0.41	0.251	0.569	0.458	0.327	0.371	0.204	0.356	0.284	0.851
DE001N0:DE133C0	0.501	1	1	1	2	3	1	2	2	2	1	1	2	2	2	0.127	0.612	0.319	0.254	0.368	0.251	0.754	0.518	0.087	1.0	0.168	0.775	0.284	0.334
DE001N0:DE135C0	0.538	1	1	1	3	1	2	1	2	2	1	2	1	2	2	0.454	1.0	0.286	0.181	0.91	0.251	0.788	0.223	0.483	0.385	0.675	0.818	0.322	0.111
DE001N0:DE141C0	0.633	1	0	2	2	1	2	2	2	3	1	1	1	2	3	0.656	0.0	0.783	0.6	0.91	0.494	0.284	0.518	0.327	1.0	0.924	0.626	0.187	0.277
DE001N0:DE150C0	0.429	2	1	1	2	2	2	1	1	1	1	1	2	1	2	0.344	0.388	0.681	0.346	0.269	0.494	0.162	0.111	0.103	0.256	0.573	0.319	0.328	0.454
