comparison	relatedness	1:max_ibd	2:max_ibd	3:max_ibd	4:max_ibd	5:max_ibd	6:max_ibd	7:max_ibd	8:max_ibd	9:max_ibd	10:max_ibd	11:max_ibd	12:max_ibd	13:max_ibd	14:max_ibd	1:n_ibd	2:n_ibd	3:n_ibd	4:n_ibd	5:n_ibd	6:n_ibd	7:n_ibd	8:n_ibd	9:n_ibd	10:n_ibd	11:n_ibd	12:n_ibd	13:n_ibd	14:n_ibd
FG0007:FG0013	0.618	1	1	1	3	2	1	1	1	2	1	2	2	1	1	0.216	0.409	0.478	0.495	0.536	0.214	1.0	0.283	0.565	1.0	0.31	0.292	1.0	0.45
FG0007:FG0021	0.604	1	3	1	2	2	1	1	1	2	1	1	2	2	2	0.784	0.381	0.67	0.267	0.142	0.399	0.753	0.531	0.514	0.482	1.0	0.388	0.54	0.352
FG0007:FG0023	0.58	1	0	0	2	2	2	1	1	2	1	1	2	1	1	0.784	0.0	0.0	0.267	0.698	0.531	0.753	0.753	0.694	0.198	0.765	0.401	0.424	0.553
FG0007:FG0024	0.626	2	0	1	1	3	1	2	1	1	1	1	2	1	2	0.216	0.0	0.224	0.495	0.547	0.601	0.392	1.0	1.0	0.37	0.439	0.469	1.0	0.32
FG0007:FG0029	0.427	1	0	1	1	1	0	2	1	0	0	1	2	1	2	0.216	0.0	1.0	0.5	0.078	0.0	0.23	0.184	0.0	0.0	0.881	0.32	0.852	0.246
FG0007:FG0032	0.464	1	0	1	2	2	1	1	2	1	1	1	2	1	2	0.784	0.0	0.673	0.267	0.218	0.601	0.242	0.335	0.477	0.155	0.463	0.292	0.641	0.465
FG0007:FG0034	0.512	1	1	0	2	2	1	2	1	1	1	1	2	3	2	0.216	1.0	0.0	0.267	0.698	0.494	0.251	0.229	0.269	0.302	1.0	0.292	0.327	0.415
FG0007:FG0038	0.581	1	1	2	1	2	1	1	2	1	1	1	2	2	3	1.0	0.326	0.493	0.267	0.698	0.601	0.753	0.542	0.179	0.169	1.0	0.292	0.376	0.386
FG0007:FG0042	0.494	1	0	1	2	3	0	1	0	1	1	1	3	1	2	0.216	0.0	1.0	0.386	0.17	0.0	0.753	0.0	0.15	0.766	0.583	0.239	0.4	0.771
FG0007:FG0045	0.517	0	0	1	2	2	1	1	0	1	1	1	3	1	2	0.0	0.0	0.063	0.374	0.224	0.399	1.0	0.0	0.831	0.345	0.602	0.32	0.894	0.318
FG0007:FG0050	0.458	1	1	0	1	2	1	2	1	1	0	0	2	1	2	0.216	1.0	0.0	0.495	0.224	0.399	0.753	0.268	1.0	0.0	0.0	0.239	1.0	0.125
FG0007:FG0052	0.532	2	1	1	2	1	1	2	1	1	0	0	2	1	1	0.216	0.461	0.211	0.238	0.224	0.399	0.753	0.606	1.0	0.0	0.0	0.239	1.0	0.771
FG0007:FG0061	0.477	1	1	2	2	2	1	2	1	1	1	2	3	2	2	0.605	0.225	0.294	0.267	0.302	0.399	0.595	1.0	0.172	0.395	0.457	0.212	0.397	0.281
FG0007:FG0062	0.456	1	1	2	2	2	1	1	0	1	1	1	3	3	1	0.401	1.0	0.515	0.407	0.252	0.399	0.925	0.0	0.355	0.797	0.138	0.324	0.15	0.229
FG0007:FG0063	0.526	1	1	1	2	2	1	2	0	1	1	1	2	3	1	0.216	0.379	1.0	0.495	0.505	0.601	0.272	0.0	0.738	0.31	1.0	0.239	0.332	0.392
FG0007:FG0066	0.624	1	1	1	2	2	2	2	0	1	2	2	2	1	2	0.572	0.76	0.474	0.415	0.078	0.518	0.753	0.0	0.872	0.734	0.495	0.531	0.417	0.624
FG0007:FG0070	0.611	1	1	1	2	2	2	1	0	1	0	1	2	1	2	0.784	0.76	0.607	0.267	0.698	0.399	1.0	0.0	0.492	0.0	1.0	0.292	0.569	0.771
FG0007:FG0074	0.581	2	1	1	1	2	2	1	1	0	1	1	2	1	2	0.26	0.33	0.453	0.495	0.54	0.601	0.753	0.805	0.0	0.446	1.0	0.318	0.35	0.771
FG0007:FG0080	0.456	1	1	1	3	2	1	1	0	1	1	1	2	0	1	0.216	0.554	0.826	0.306	0.444	0.399	0.753	0.0	0.534	0.456	0.864	0.239	0.0	0.431
FG0007:FG0081	0.492	2	0	1	3	1	2	1	1	0	1	1	2	1	1	0.484	0.0	0.887	0.495	0.224	0.601	0.281	0.185	0.0	0.669	1.0	0.32	0.411	0.413
FG0007:FG0087	0.535	1	1	0	1	2	1	1	2	1	0	1	3	1	4	0.216	1.0	0.0	0.495	0.514	0.399	0.753	0.201	1.0	0.0	1.0	0.292	0.467	0.13
FG0007:FG0100	0.547	0	2	0	3	2	1	1	1	1	1	1	1	1	3	0.0	0.446	0.0	0.28	0.497	0.399	0.321	0.445	1.0	0.061	1.0	0.68	0.377	0.274
FG0007:FG0120	0.525	2	1	0	2	3	0	1	0	2	2	2	3	1	2	0.138	0.357	0.0	0.267	0.252	0.0	0.36	0.0	0.38	0.615	0.235	0.292	1.0	0.771
FG0007:FG0123	0.492	2	0	1	2	3	1	1	0	0	0	2	2	1	1	0.362	0.0	0.53	0.267	0.472	0.399	0.753	0.0	0.0	0.0	0.531	0.531	1.0	0.271
FG0007:FG0126	0.458	2	0	1	2	2	1	1	0	1	1	1	2	1	1	0.196	0.0	0.869	0.267	0.592	0.353	0.284	0.0	0.796	0.265	0.083	0.292	0.527	0.771
