comparison	relatedness	1:max_ibd	2:max_ibd	3:max_ibd	4:max_ibd	5:max_ibd	6:max_ibd	7:max_ibd	8:max_ibd	9:max_ibd	10:max_ibd	11:max_ibd	12:max_ibd	13:max_ibd	14:max_ibd	1:n_ibd	2:n_ibd	3:n_ibd	4:n_ibd	5:n_ibd	6:n_ibd	7:n_ibd	8:n_ibd	9:n_ibd	10:n_ibd	11:n_ibd	12:n_ibd	13:n_ibd	14:n_ibd
AB_BSA_220_NF54.P:AB_BSA_222_NHP4026.P	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB_BSA_220_NF54.P:HI0001.F1	0.501	1	0	0	1	2	1	1	0	1	2	2	1	2	2	1.0	0.0	0.0	0.595	0.318	0.436	1.0	0.0	0.651	0.456	0.609	0.055	0.566	0.442
AB_BSA_220_NF54.P:HI0003.F1	0.445	1	1	1	1	1	0	2	1	1	1	1	1	1	1	0.351	0.272	1.0	0.389	0.84	0.0	0.285	1.0	0.407	0.077	0.17	0.733	0.634	0.206
AB_BSA_220_NF54.P:HI0004.F1	0.515	1	0	0	1	0	1	1	1	0	1	1	2	0	2	1.0	0.0	0.0	1.0	0.0	0.542	1.0	0.917	0.0	0.722	0.788	0.431	0.0	0.573
AB_BSA_220_NF54.P:HI0005.F1	0.501	0	1	1	0	1	2	2	1	1	1	1	1	2	0	0.0	0.593	0.752	0.0	0.59	0.647	0.769	1.0	0.416	0.616	0.283	0.496	0.566	0.0
AB_BSA_220_NF54.P:HI0007.F1	0.516	1	1	0	1	1	0	1	0	1	1	2	0	1	1	1.0	0.59	0.0	1.0	1.0	0.0	0.389	0.0	1.0	0.717	0.463	0.0	0.351	0.785
AB_BSA_220_NF54.P:HI0010.F1	0.357	1	1	2	2	1	1	1	0	0	1	0	1	2	0	1.0	0.22	0.45	0.405	0.089	1.0	0.47	0.0	0.0	0.79	0.0	0.633	0.328	0.0
AB_BSA_220_NF54.P:HI0019.F1	0.541	1	1	1	1	1	0	2	1	1	0	2	1	1	1	1.0	0.084	1.0	1.0	1.0	0.0	0.544	0.624	0.89	0.0	0.331	1.0	0.312	0.138
AB_BSA_220_NF54.P:HI0020.F1	0.507	1	2	1	1	1	1	1	1	1	1	2	1	3	0	0.246	0.365	1.0	0.149	0.067	0.825	0.488	1.0	0.619	0.233	0.505	1.0	0.219	0.0
AB_BSA_220_NF54.P:HI0021.F1	0.491	2	1	0	1	1	0	2	2	2	1	1	1	1	1	0.211	0.716	0.0	0.662	1.0	0.0	0.411	0.49	0.829	1.0	0.341	0.71	0.059	0.159
AB_BSA_220_NF54.P:HI0022.F1	0.372	1	1	1	0	2	1	0	0	2	0	1	1	1	1	1.0	0.389	1.0	0.0	0.497	0.105	0.0	0.0	0.163	0.0	0.334	0.602	1.0	0.051
AB_BSA_220_NF54.P:HI0024.F1	0.606	2	1	1	1	1	1	1	1	1	1	1	2	1	2	0.471	0.514	1.0	1.0	0.755	0.326	0.774	0.28	0.689	0.144	0.574	0.489	0.55	0.363
AB_BSA_220_NF54.P:HI0025.F1	0.57	1	1	1	0	3	1	1	1	2	1	1	2	2	1	0.132	0.771	0.767	0.0	0.277	0.87	0.43	0.55	0.424	1.0	1.0	0.258	0.139	0.653
AB_BSA_220_NF54.P:HI0026.F1	0.533	1	1	1	1	1	2	1	1	1	1	1	2	2	2	0.602	0.673	1.0	0.436	0.757	0.243	0.748	0.621	0.37	0.491	0.407	0.401	0.527	0.204
AB_BSA_220_NF54.P:HI0028.F1	0.565	1	1	1	1	1	1	1	1	0	1	2	1	0	3	1.0	0.702	1.0	0.842	0.637	0.586	1.0	0.523	0.0	0.167	0.483	1.0	0.0	0.346
AB_BSA_220_NF54.P:HI0029.F1	0.296	1	1	1	1	1	2	1	1	0	1	1	0	1	1	0.409	1.0	0.696	0.671	0.254	0.149	0.277	0.736	0.0	0.165	0.525	0.0	0.089	0.114
AB_BSA_220_NF54.P:HI0030.F1	0.335	0	1	0	0	1	1	2	1	1	2	2	2	1	1	0.0	0.244	0.0	0.0	0.33	0.35	0.202	0.394	0.352	0.616	0.15	0.362	0.154	0.449
AB_BSA_220_NF54.P:HI0031.F1	0.54	1	1	1	1	3	1	1	1	2	1	2	1	2	1	1.0	0.392	0.794	0.826	0.288	0.89	0.452	0.731	0.757	0.857	0.336	0.178	0.364	0.086
AB_BSA_220_NF54.P:HI0032.F1	0.492	1	0	1	1	1	1	1	1	2	0	1	2	2	0	1.0	0.0	1.0	0.414	0.228	1.0	0.887	0.934	0.564	0.0	0.417	0.66	0.331	0.0
AB_BSA_220_NF54.P:HI0033.F1	0.494	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1.0	0.284	0.0	1.0	0.271	0.42	0.465	0.123	0.537	0.715	1.0	0.695	0.068	0.424
AB_BSA_220_NF54.P:HI0035.F1	0.452	0	1	1	1	1	1	1	1	0	1	1	1	1	2	0.0	0.441	0.584	0.412	0.25	0.211	0.496	0.322	0.0	0.445	1.0	0.333	0.567	0.476
