comparison	relatedness	1:max_ibd	2:max_ibd	3:max_ibd	4:max_ibd	5:max_ibd	6:max_ibd	7:max_ibd	8:max_ibd	9:max_ibd	10:max_ibd	11:max_ibd	12:max_ibd	13:max_ibd	14:max_ibd	1:n_ibd	2:n_ibd	3:n_ibd	4:n_ibd	5:n_ibd	6:n_ibd	7:n_ibd	8:n_ibd	9:n_ibd	10:n_ibd	11:n_ibd	12:n_ibd	13:n_ibd	14:n_ibd
AB_BSA_220_NF54:AB_BSA_222_NHP4026	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB_BSA_220_NF54:AB007C0.serum.Control	0.415	0	1	1	1	1	1	3	2	1	1	0	1	1	2	0.0	0.284	0.233	0.273	1.0	0.37	0.339	0.275	0.335	1.0	0.0	0.259	0.258	0.395
AB_BSA_220_NF54:AB021C0.serum.Control	0.608	0	1	1	1	1	1	1	1	1	2	1	3	2	1	0.0	0.56	0.351	1.0	0.068	1.0	0.908	1.0	0.53	0.292	1.0	0.226	0.32	0.624
AB_BSA_220_NF54:AB025C0.serum.Control	0.424	1	1	1	1	2	0	1	1	0	1	0	1	2	2	0.214	1.0	0.742	0.31	0.144	0.0	0.316	0.156	0.0	0.8	0.0	0.525	0.446	0.531
AB_BSA_220_NF54:AB026C0.serum.Control	0.649	1	1	1	0	2	1	1	1	2	1	2	1	2	1	1.0	0.702	0.762	0.0	0.586	0.771	1.0	1.0	0.387	0.911	0.543	0.129	0.277	0.817
AB_BSA_220_NF54:AB036C0.serum.Control	0.405	1	1	1	1	1	2	2	1	2	1	1	2	1	1	0.186	0.441	0.157	1.0	0.242	0.305	0.46	0.168	0.285	0.233	0.089	0.401	0.389	0.466
AB_BSA_220_NF54:AB042C0.serum.Control	0.573	0	0	1	1	1	1	1	0	1	2	2	1	1	2	0.0	0.0	0.856	0.389	1.0	0.78	1.0	0.0	0.675	0.266	0.468	0.354	0.462	0.589
AB_BSA_220_NF54:AB043C0.serum.Control	0.41	1	0	1	1	0	2	1	1	0	1	2	1	2	1	1.0	0.0	0.2	1.0	0.0	0.325	0.477	0.475	0.0	0.576	0.686	0.089	0.386	0.335
AB_BSA_220_NF54:AB044C0.serum.Control	0.42	0	1	1	1	0	1	2	2	1	1	2	0	2	2	0.0	0.348	1.0	1.0	0.0	0.258	0.302	0.353	0.246	0.119	0.495	0.0	0.284	0.288
AB_BSA_220_NF54:AB046C0.serum.Control	0.648	1	0	2	1	2	1	1	1	1	0	2	2	2	2	1.0	0.0	0.515	0.12	0.593	0.518	1.0	1.0	1.0	0.0	0.451	0.294	0.574	0.473
AB_BSA_220_NF54:AB050C0.serum.Control	0.52	0	1	1	1	0	1	1	2	0	1	1	2	2	1	0.0	0.503	1.0	0.567	0.0	0.157	0.31	0.331	0.0	1.0	1.0	0.349	0.559	0.316
AB_BSA_220_NF54:AB051C0.serum.Control	0.507	1	0	1	1	1	1	1	1	2	1	1	0	1	1	0.371	0.0	0.659	0.681	0.606	0.455	0.827	0.562	0.224	0.761	0.663	0.0	0.09	0.905
AB_BSA_220_NF54:AB052C0.serum.Control	0.694	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0.64	0.284	1.0	1.0	1.0	0.646	1.0	0.367	0.289	0.507	0.674	0.473	0.444	1.0
AB_BSA_220_NF54:AB057C0.serum.Control	0.529	0	1	0	0	1	2	1	1	2	1	1	1	1	2	0.0	1.0	0.0	0.0	0.105	0.374	0.644	0.855	0.235	0.653	0.574	0.465	0.572	0.414
AB_BSA_220_NF54:AB071C0.serum.Control	0.519	1	1	1	1	0	0	1	3	1	1	1	1	1	2	1.0	0.197	0.35	0.842	0.0	0.0	0.64	0.261	0.166	0.86	1.0	0.332	0.55	0.315
